id,name,parent_id,color,label_tree_id,source_id
443113,Substrate,,f26f55,3270,
443114,Substrate_A,443113,f26f55,3270,
443115,Substrate_B,443113,f26f55,3270,
443116,Substrate_C,443113,f26f55,3270,
443117,Bedrock,443114,f26f55,3270,
443118,Boulders,443114,f26f55,3270,
443119,Cobbles,443114,f26f55,3270,
443120,Pebbles,443114,f26f55,3270,
443121,Gravel,443114,f26f55,3270,
443122,Sand,443114,f26f55,3270,
443123,"Muddy sed",443114,f26f55,3270,
443124,"Sulphidic sed.",443114,f26f55,3270,
443125,"bacterial mat",443116,f26f55,3270,
443126,outcrop,443115,f26f55,3270,
443127,smooth,443115,f26f55,3270,
443128,irregular,443115,f26f55,3270,
443129,waves,443115,f26f55,3270,
443130,ripples,443115,f26f55,3270,
443131,flat,443115,f26f55,3270,
443132,"mud overlay",443115,f26f55,3270,
443133,"sand overlay",443115,f26f55,3270,
443134,"cobble overlay",443115,f26f55,3270,
443135,"Epifauna high",443116,f26f55,3270,
443136,"Epifauna low",443116,f26f55,3270,
443137,Anthropogenic,,b830f2,3270,
443138,"Trawl Marks",443137,b830f2,3270,
443139,"Fishing gear",443137,b830f2,3270,
443140,Rubbish,443137,b830f2,3270,
443141,OBSCURED,443114,f26f55,3270,
443146,Biota,,30c8f2,3270,1
443147,Animalia,443146,30c8f2,3270,2
443148,Chordata,443147,30c8f2,3270,1821
443149,Vertebrata,443148,30c8f2,3270,146419
443150,Gnathostomata,443149,30c8f2,3270,1828
443151,Osteichthyes,443150,30c8f2,3270,152352
443152,Actinopterygii,443151,30c8f2,3270,10194
443153,Actinopteri,443152,30c8f2,3270,843664
443154,Teleostei,443153,30c8f2,3270,293496
443155,Perciformes,443154,30c8f2,3270,11014
443156,Notothenioidei,443155,30c8f2,3270,151728
443157,Nototheniidae,443156,30c8f2,3270,151404
443158,Fish,,e645b5,3270,
443159,Pogos,443158,e645b5,3270,
443160,Nototheniids,443157,bbaaaa,3270,
443161,Channichthyidae,443156,30c8f2,3270,234518
443162,Icefish,443161,bbaaaa,3270,
443163,Echinodermata,443147,2ee693,3270,1806
443164,Asterozoa,443163,2ee693,3270,148743
443165,Asteroidea,443164,2ee693,3270,123080
443166,Asteroid,443165,bbaaaa,3270,
443167,Ophiuroidea,443164,2ee693,3270,123084
443168,Ophiuroid,443167,bbaaaa,3270,
443169,Echinozoa,443163,2cdd8d,3270,148744
443170,Echinoidea,443169,2ee592,3270,123082
443171,Echinoid,443170,bbaaaa,3270,
443172,Holothuroidea,443169,2ee592,3270,123083
443173,Holothurian,443172,bbaaaa,3270,
443174,Crinozoa,443163,2ee592,3270,147423
443175,Crinoidea,443174,2ee592,3270,123081
443176,Crinoid,443175,bbaaaa,3270,
443177,Arthropoda,443147,f230b8,3270,1065
443178,Crustacea,443177,f230b8,3270,1066
443179,Multicrustacea,443178,f230b8,3270,845959
443180,Malacostraca,443179,f230b8,3270,1071
443181,"Crustacean (lobster)",443180,bbaaaa,3270,
443182,Eumalacostraca,443180,f230b8,3270,1086
443183,Eucarida,443182,f230b8,3270,1089
443184,Decapoda,443183,f230b8,3270,1130
443185,Pleocyemata,443184,f230b8,3270,106670
443186,Brachyura,443185,f230b8,3270,106673
443187,"Crustacean (crab)",443186,bbaaaa,3270,
443188,Anomura,443185,f230b8,3270,106671
443189,Paguroidea,443188,f230b8,3270,106687
443190,Paguridae,443189,f230b8,3270,106738
443191,"Crustacean (pagurid)",443190,bbaaaa,3270,
443192,Caridea,443185,f255c3,3270,106674
443193,"Crustacean (shrimp)",443192,bbaaaa,3270,
443194,Peracarida,443182,f230b8,3270,1090
443195,"Crustacean (peracarid)",443194,bbaaaa,3270,
443196,Galatheoidea,443188,f230b8,3270,106685
443197,Galatheidae,443196,f230b8,3270,106733
443198,"Crustacean (galatheid/Chirostylidae)",443197,bbaaaa,3270,
443199,Astacidea,443185,f230b8,3270,106672
443200,Nephropoidea,443199,f230b8,3270,155750
443201,Nephropidae,443200,f230b8,3270,106741
443202,Metanephrops,443201,f230b8,3270,206076
443203,"Metanephrops challengeri",443202,f230b8,3270,382850
443204,"Crustacean (scampi)",443203,bbaaaa,3270,
443205,Mollusca,443147,f2d649,3270,51
443206,Gastropoda,443205,f2d649,3270,101
443207,"Mollusc (gastropod)",443206,bbaaaa,3270,
443208,Cephalopoda,443205,f2d649,3270,11707
443209,"Mollusc (cephalopod)",443208,bbaaaa,3270,
443210,Heterobranchia,443206,f2d649,3270,14712
443211,Opisthobranchia,443210,f2d649,3270,382226
443212,"Mollusc (opisthobranch)",443211,bbaaaa,3270,
443213,Nemertea,443147,f28f0c,3270,152391
443214,Nemertean,443213,bbaaaa,3270,
443215,Annelida,443147,94ff4d,3270,882
443216,Polychaeta,443215,94ff4d,3270,883
443217,"Polychaete (errant)",443216,bbaaaa,3270,
443218,"Worm (indeterminate)",443215,bbaaaa,3270,
443219,Chelicerata,443177,f230b8,3270,1274
443220,Pycnogonida,443219,f230b8,3270,1302
443221,Pycnogonid,443220,bbaaaa,3270,
443222,Ambuloasteroidea,443165,2ee693,3270,1562575
443223,Neoasteroidea,443222,2ee693,3270,1562576
443224,Forcipulatacea,443223,2ee693,3270,582527
443225,Brisingida,443224,2ee693,3270,123085
443226,Scaphopoda,443205,f2d649,3270,104
443227,Polychelida,443185,f230b8,3270,383015
443228,Eryonoidea,443227,f230b8,3270,383016
443229,Polychelidae,443228,f230b8,3270,106793
443230,"Crustacean (polychelidae)",443229,bbaaaa,3270,
443231,Euphausiacea,443183,f230b8,3270,1128
443232,Mysidacea,443194,f230b8,3270,2824
443233,Amphipoda,443194,f230b8,3270,1135
443234,Isopoda,443194,f230b8,3270,1131
443235,Coleoidea,443208,f2d649,3270,11709
443236,Octopodiformes,443235,f2d649,3270,325343
443237,Octopoda,443236,f2d649,3270,11718
443238,"Mollusc (octopod)",443237,bbaaaa,3270,
443239,Vampyromorpha,443236,f2d649,3270,11717
443240,Vampyroteuthidae,443239,f2d649,3270,11775
443241,Vampyroteuthis,443240,f2d649,3270,138623
443242,"Mollusc (vampire squid)",443241,bbaaaa,3270,
443243,Hemichordata,443147,3d8bf2,3270,1818
443244,Hemichordate,443243,bbaaaa,3270,
443245,Errantia,443216,94ff4d,3270,754174
443246,Eunicida,443245,94ff4d,3270,895
443247,Onuphidae,443246,94ff4d,3270,965
443248,Hyalinoeciinae,443247,94ff4d,3270,298366
443249,Hyalinoecia,443248,94ff4d,3270,129400
443250,"Hyalinoecia longibranchiata",443249,94ff4d,3270,1591579
443251,"Quill worm",443250,bbaaaa,3270,
443252,Porifera,443147,ba66ff,3270,558
443253,Hexactinellida,443252,ba66ff,3270,22612
443254,Hexasterophora,443253,ba66ff,3270,131590
443255,Hexactinosida,443254,ba66ff,3270,171628
443256,Cnidaria,443147,c50707,3270,1267
443257,Anthozoa,443256,c50707,3270,1292
443258,Hexacorallia,443257,c50707,3270,1340
443259,Actiniaria,443258,c50707,3270,1360
443264,Anemones,443259,bbaaaa,3270,
443266,Demospongiae,443252,ba66ff,3270,164811
443267,"Sponge (demospongiae)",443266,bbaaaa,3270,
443268,"Sponge (hexactinellidae)",443253,bbaaaa,3270,
443269,"Corals (hard)",443256,bbaaaa,3270,
443270,"Corals (soft)",443256,bbaaaa,3270,
443271,Medusozoa,443256,c50707,3270,1740301
443272,Hydrozoa,443271,c50707,3270,1337
443273,Hydroids,443272,bbaaaa,3270,
443274,Bivalvia,443205,f2d649,3270,105
443275,"Molluscs (bivalves)",443274,bbaaaa,3270,
443276,Brachiopoda,443147,bbe62e,3270,1803
443277,Brachiopods,443276,bbaaaa,3270,
443278,Bryozoa,443147,0dff6a,3270,146142
443279,Bryozoans,443278,bbaaaa,3270,
443280,"Tube worms",443216,bbaaaa,3270,
443281,Tunicata,443148,30c8f2,3270,146420
443282,Ascidiacea,443281,30c8f2,3270,1839
443283,"Ascidians (clonal)",443282,bbaaaa,3270,
443284,"Ascidians (solitary)",443282,bbaaaa,3270,
443285,Thecostraca,443179,f230b8,3270,22388
443286,Cirripedia,443285,f230b8,3270,1082
443287,Barnacles,443286,bbaaaa,3270,
443288,Echiura,443216,94ff4d,3270,1269
443289,Chromista,443146,7cd5b4,3270,7
443290,Harosa,443289,7cd5b4,3270,582419
443291,Rhizaria,443290,7cd5b4,3270,582420
443292,Foraminifera,443291,7cd5b4,3270,1410
443293,Monothalamea,443292,7cd5b4,3270,744106
443294,Xenophyophoroidea,443293,7cd5b4,3270,736980
443295,Xenophyophore,443294,bbaaaa,3270,
443296,Chemoherm,443116,f26f55,3270,
443297,Bioturbation,,640cf2,3270,
443298,"Spiral (hemichordate)",443297,640cf2,3270,
443299,Thaliacea,443281,30c8f2,3270,22626
443300,Salpida,443299,30c8f2,3270,137214
443301,Salp,443300,bbaaaa,3270,
443302,"Bony fish",443151,bbaaaa,3270,
443303,Chondrichthyes,443150,30c8f2,3270,1517375
443304,"Cartilagenous fish",443303,bbaaaa,3270,
443305,Trachichthyiformes,443154,30c8f2,3270,1517487
443306,Trachichthyidae,443305,30c8f2,3270,125459
443307,Hoplostethus,443306,30c8f2,3270,125706
443308,"Hoplostethus atlanticus",443307,30c8f2,3270,126402
